Season,Club,Played,W,L,T
2007,CHV,30,15,7,8
2007,HOU,30,15,8,7
2007,DAL,30,13,12,5
2007,COL,30,9,13,8
2007,LA,30,9,14,7
2007,RSL,30,6,15,9
2007,DC,30,16,7,7
2007,NE,30,14,8,8
2007,NYRB,30,12,11,7
2007,CHI,30,10,10,10
2007,KC,30,11,12,7
2007,CLB,30,9,11,10
2007,TFC,30,6,17,7
2008,CLB,30,17,7,6
2008,CHI,30,13,10,7
2008,NE,30,12,11,7
2008,KC,30,11,10,9
2008,NYRB,30,10,11,9
2008,DC,30,11,15,4
2008,TFC,30,9,13,8
2008,HOU,30,13,5,12
2008,CHV,30,12,11,7
2008,RSL,30,10,10,10
2008,COL,30,11,14,5
2008,DAL,30,8,10,12
2008,LA,30,8,13,9
2008,SJ,30,8,13,9
2009,CLB,30,13,7,10
2009,CHI,30,11,7,12
2009,NE,30,11,10,9
2009,DC,30,9,8,13
2009,TFC,30,10,11,9
2009,KC,30,8,13,9
2009,NYRB,30,5,19,6
2009,LA,30,12,6,12
2009,HOU,30,13,8,9
2009,SEA,30,12,7,11
2009,CHV,30,13,11,6
2009,RSL,30,11,12,7
2009,COL,30,10,10,10
2009,DAL,30,11,13,6
2009,SJ,30,7,14,9
2010,NYRB,30,15,9,6
2010,CLB,30,14,8,8
2010,KC,30,11,13,6
2010,CHI,30,9,12,9
2010,TFC,30,9,13,8
2010,NE,30,9,16,5
2010,PHI,30,8,15,7
2010,DC,30,6,20,4
2010,LA,30,18,7,5
2010,RSL,30,15,4,11
2010,DAL,30,12,4,14
2010,SEA,30,14,10,6
2010,COL,30,12,8,10
2010,SJ,30,13,10,7
2010,HOU,30,9,15,6
2010,CHV,30,8,18,4
2011,KC,34,13,9,12
2011,HOU,34,12,9,13
2011,PHI,34,11,8,15
2011,CLB,34,13,13,8
2011,NYRB,34,10,8,16
2011,CHI,34,9,9,16
2011,DC,34,9,13,12
2011,TFC,34,6,13,15
2011,NE,34,5,16,13
2011,LA,34,19,5,10
2011,SEA,34,18,7,9
2011,RSL,34,15,11,8
2011,DAL,34,15,12,7
2011,COL,34,12,9,13
2011,POR,34,11,14,9
2011,SJ,34,8,12,14
2011,CHV,34,8,14,12
2011,VAN,34,6,18,10
2012,KC,34,18,7,9
2012,DC,34,17,10,7
2012,NYRB,34,16,9,9
2012,CHI,34,17,11,6
2012,HOU,34,14,9,11
2012,CLB,34,15,12,7
2012,MTL,34,12,16,6
2012,PHI,34,10,18,6
2012,NE,34,9,17,8
2012,TFC,34,5,21,8
2012,SJ,34,19,6,9
2012,RSL,34,17,11,6
2012,SEA,34,15,8,11
2012,LA,34,16,12,6
2012,VAN,34,11,13,10
2012,DAL,34,9,13,12
2012,COL,34,11,19,4
2012,POR,34,8,16,10
2012,CHV,34,7,18,9
2013,NYRB,34,17,9,8
2013,KC,34,17,10,7
2013,NE,34,14,11,9
2013,HOU,34,14,11,9
2013,MTL,34,14,13,7
2013,CHI,34,14,13,7
2013,PHI,34,12,12,10
2013,CLB,34,12,17,5
2013,TFC,34,6,17,11
2013,DC,34,3,24,7
2013,POR,34,14,5,15
2013,RSL,34,16,10,8
2013,LA,34,15,11,8
2013,SEA,34,15,12,7
2013,COL,34,14,11,9
2013,SJ,34,14,11,9
2013,VAN,34,13,12,9
2013,DAL,34,11,12,11
2013,CHV,34,6,20,8
2014,DC,34,17,9,8
2014,NE,34,17,13,4
2014,CLB,34,14,10,10
2014,NYRB,34,13,10,11
2014,KC,34,14,13,7
2014,PHI,34,10,12,12
2014,TFC,34,11,15,8
2014,HOU,34,11,17,6
2014,CHI,34,6,10,18
2014,MTL,34,6,18,10
2014,SEA,34,20,10,4
2014,LA,34,17,7,10
2014,RSL,34,15,8,11
2014,DAL,34,16,12,6
2014,VAN,34,12,8,14
2014,POR,34,12,9,13
2014,CHV,34,9,19,6
2014,COL,34,8,18,8
2014,SJ,34,6,16,12
2015,NYRB,34,18,10,6
2015,CLB,34,15,11,8
2015,MTL,34,15,13,6
2015,DC,34,15,13,6
2015,NE,34,14,12,8
2015,TFC,34,15,15,4
2015,ORL,34,12,14,8
2015,NYCFC,34,10,17,7
2015,PHI,34,10,17,7
2015,CHI,34,8,20,6
2015,DAL,34,18,10,6
2015,VAN,34,16,13,5
2015,POR,34,15,11,8
2015,SEA,34,15,13,6
2015,LA,34,14,11,9
2015,KC,34,14,11,9
2015,SJ,34,13,13,8
2015,HOU,34,11,14,9
2015,RSL,34,11,15,8
2015,COL,34,9,15,10
2016,NYRB,34,16,9,9
2016,NYCFC,34,15,10,9
2016,TFC,34,14,9,11
2016,DC,34,11,10,13
2016,MTL,34,11,11,12
2016,PHI,34,11,14,9
2016,NE,34,11,14,9
2016,ORL,34,9,11,14
2016,CLB,34,8,14,12
2016,CHI,34,7,17,10
2016,DAL,34,17,8,9
2016,COL,34,15,6,13
2016,LA,34,12,6,16
2016,SEA,34,14,14,6
2016,KC,34,13,13,8
2016,RSL,34,12,12,10
2016,POR,34,12,14,8
2016,VAN,34,10,15,9
2016,SJ,34,8,12,14
2016,HOU,34,7,14,13
2017,TFC,34,20,5,9
2017,NYCFC,34,16,9,9
2017,CHI,34,16,11,7
2017,ATL,34,15,9,10
2017,CLB,34,16,12,6
2017,NYRB,34,14,12,8
2017,NE,34,13,15,6
2017,PHI,34,11,14,9
2017,MTL,34,11,17,6
2017,ORL,34,10,15,9
2017,DC,34,9,20,5
2017,POR,34,15,11,8
2017,SEA,34,14,9,11
2017,VAN,34,15,12,7
2017,HOU,34,13,10,11
2017,KC,34,12,9,13
2017,SJ,34,13,14,7
2017,DAL,34,11,10,13
2017,RSL,34,13,15,6
2017,MNUFC,34,10,18,6
2017,COL,34,9,19,6
2017,LA,34,8,18,8
2018,NYRB,34,22,7,5
2018,ATL,34,21,7,6
2018,NYCFC,34,16,10,8
2018,DC,34,14,11,9
2018,CLB,34,14,11,9
2018,PHI,34,15,14,5
2018,MTL,34,14,16,4
2018,NE,34,10,13,11
2018,TFC,34,10,18,6
2018,CHI,34,8,18,8
2018,ORL,34,8,22,4
2018,KC,34,18,8,8
2018,SEA,34,18,11,5
2018,LAFC,34,16,9,9
2018,DAL,34,16,9,9
2018,POR,34,15,10,9
2018,RSL,34,14,13,7
2018,LA,34,13,12,9
2018,VAN,34,13,13,8
2018,HOU,34,10,16,8
2018,MNUFC,34,11,20,3
2018,COL,34,8,19,7
2018,SJ,34,4,21,9
2019,NYCFC,34,18,6,10
2019,ATL,34,18,12,4
2019,PHI,34,16,11,7
2019,TFC,34,13,10,11
2019,DC,34,13,10,11
2019,NYRB,34,14,14,6
2019,NE,34,11,11,12
2019,CHI,34,10,12,12
2019,MTL,34,12,17,5
2019,CLB,34,10,16,8
2019,ORL,34,9,15,10
2019,CIN,34,6,22,6
2019,LAFC,34,21,4,9
2019,SEA,34,16,10,8
2019,RSL,34,16,13,5
2019,MNUFC,34,15,11,8
2019,LA,34,16,15,3
2019,POR,34,14,13,7
2019,DAL,34,13,12,9
2019,SJ,34,13,16,5
2019,COL,34,12,16,6
2019,HOU,34,12,18,4
2019,KC,34,10,16,8
2019,VAN,34,8,16,10
