Season,Club,First Name,Last Name,Position,Total Compensation,Base Salary
2019,ATL,Mohammed Mo,Adams,M,134999.96,99999.96
2019,ATL,Mikey,Ambrose,D,72351.6,72351.6
2019,ATL,Ezequiel,Barco,M-F,1425000,1425000
2019,ATL,George,Bello,D,79000,75000
2019,ATL,Andrew,Carleton,M-F,97399.96,84999.96
2019,ATL,Franco,Escobar,D,300000,300000
2019,ATL,Jon,Gallagher,M-F,70250.04,70250.04
2019,ATL,Leandro,Gonzalez Pirez,D,810008,775008
2019,ATL,Chris,Goslin,M-F,90000,90000
2019,ATL,Julian,Gressel,M,132999.96,114249.96
2019,ATL,Brad,Guzan,GK,740004,680004
2019,ATL,Jose Rafael,Hernandez,D,140004,140004
2019,ATL,Emerson,Hyndman,M,360000,360000
2019,ATL,Alec,Kann,GK,100008,100008
2019,ATL,Kevin,Kratz,M,222750,210000
2019,ATL,Lagos,Kunga,M-F,73250.04,70250.04
2019,ATL,Jeff,Larentowicz,D-M,210000,210000
2019,ATL,Josef,Martinez,F,3058333.33,3000000
2019,ATL,Pity,Martinez,M-F,900000,900000
2019,ATL,Justin,Meram,M-F,678754,650004
2019,ATL,Brendan,Moore,GK,70250.04,70250.04
2019,ATL,Darlington,Nagbe,M,665499.96,665499.96
2019,ATL,Luiz Fernando,Nascimento,F,56250,56250
2019,ATL,Patrick,Okonkwo,F,67256,56256
2019,ATL,Michael,Parkhurst,D,300000,300000
2019,ATL,Dion,Pereira,M-F,56250,56250
2019,ATL,Florentin,Pogba,D,324000,300000
2019,ATL,Eric,Remedi,D-M,300000,300000
2019,ATL,Miles,Robinson,D,201250.08,145000.08
2019,ATL,Brek,Shea,D-M,225000,225000
2019,ATL,Brandon,Vazquez,F,166000,150000
2019,ATL,Hector,Villalba,M-F,830249.96,722499.96
2019,CHI,Micheal,Azira,D-M,146625.04,140000.04
2019,CHI,Jonathan,Bornstein,D-M,263200,240000
2019,CHI,Brandt,Bronico,M,90624.96,84999.96
2019,CHI,Francisco,Calvo,D,672600,600000
2019,CHI,Diego,Campos,D,72825.04,70250.04
2019,CHI,Stefan,Cleveland,GK,70250.04,70250.04
2019,CHI,Elliot,Collier,M-F,57225,57225
2019,CHI,Raheem,Edwards,M,70250.04,70250.04
2019,CHI,Marcelo,Ferreira,D,797499.96,774999.96
2019,CHI,Przemyslaw,Frankowski,M-F,661687.5,450000
2019,CHI,Nicolas,Gaitan,M-F,2197504,1400004
2019,CHI,Jeremiah,Gutjahr,M,56250,56250
2019,CHI,Fabian,Herbers,M-F,135000,135000
2019,CHI,Johan,Kappelhof,D,577833.29,549999.96
2019,CHI,Aleksandar,Katai,M-F,1380333.33,1260000
2019,CHI,Kenneth,Kronholm,GK,150996,87996
2019,CHI,Grant,Lillard,D,97500.04,95000.04
2019,CHI,Cristian,Martinez,M,88406.71,80000.04
2019,CHI,Dax,McCarty,M,700000.08,700000.08
2019,CHI,Djordje,Mihailovic,M-F,114600,111000
2019,CHI,Amando,Moreno,M-F,72750.04,70250.04
